"Registrant","Registration #","RegistrationDate","TerminationDate"
"Segarra, Michael A.","1759","06/15/1964","12/07/1971"
"Seger, Gerhart Henry","741","09/15/1952","01/21/1967"
"Segundo Frente Nacional Del Escambray","1686","01/30/1964","07/30/1970"
"Seidenman, Paul","3475","05/24/1983","02/10/1986"
"Seigenthaler, Thomas P.","5053","09/26/1995","02/28/1996"
"Sein, Malcolm K.","4319","12/04/1989","06/30/1990"
"Select Magazines, Inc.","1083","11/15/1957","05/15/1974"
"Sellars, Duncan W.","5096","02/29/1996","12/31/1997"
"Sellinger, Martin","2186","01/26/1970","09/24/1973"
"Selvage & Lee, Inc.","628","06/19/1950","06/30/1960"
"Selvage & Lee, Inc.","1454","05/29/1961","09/25/1964"
"Selz/Seabolt Communications, Inc.","5126","08/02/1996","08/02/1996"
"Semmes, Bowen & Semmes","4842","08/05/1993","09/29/1994"
"Senese, Anthony M.","1061","08/22/1957","09/23/1958"
"Senese, Anthony M.","1363","05/25/1960","09/09/1960"
"Sepasy, Bijan Adam","4703","08/12/1992","02/28/1993"
"Serapiao, Luis B.","3867","08/08/1986","09/09/1992"
"Serko & Simon","2811","07/13/1977","01/13/1978"
"Sessions & Caminita","813","01/21/1954","02/28/1955"
"Sessions, Gordon Morrison","613","02/17/1950","02/17/1953"
"Sestito, Larry A.","935","03/19/1956","10/24/1968"
"Seven Letter","6847","08/04/2020","02/28/2021"
"Severance International, Inc.","5038","07/26/1995","07/31/2001"
"Seychelles Tourist Board","3699","07/08/1985","10/22/1990"
"Seyedin, Hamid Reza","4081","01/25/1988","12/30/1988"
"Seyfarth, Shaw, Fairweather & Geraldson","3122","07/18/1980","02/16/1995"
"Shackelford Jr., Roger Lee","1667","12/06/1963","04/11/1966"
"Shadowen, Steve Duane","6993","08/18/2021",""
"Shadwell Trading Company, Inc.","3253","07/02/1981","08/10/1983"
"Shafiq, Nuri","4798","04/09/1993","04/30/1995"
"Shaheen & White, Inc.","369","08/23/1946","02/23/1947"
"Shallna, Anthony O.","182","04/01/1943","10/13/1967"
"Shami, Saba L.","5297","01/27/1999","07/31/1999"
"Shamlin, Richard","6788","01/27/2020","02/29/2020"
"Shands, Richard E.","144","10/19/1942","04/19/1946"
"Shandwick","4866","11/05/1993","05/31/1997"
"Shandwick North America, Inc.","4521","06/03/1991","07/30/1992"
"Shandwick Public Affairs, Inc.","5220","12/17/1997","06/30/2001"
"Shandwick USA, Inc.","5315","05/11/1999","05/31/2001"
"Shannon Free Airport Development Company, Ltd.","2467","10/23/1973","04/30/2004"
"Shannon, Palmer S.","1283","10/02/1959","10/02/1960"
"Shapiro & Olander","5014","04/13/1995","10/31/1995"
"Shaposhnikov, Jury","2114","12/02/1968","02/09/1971"
"Sharon, John H.","2761","03/16/1977","06/10/1980"
"Sharp & Barnes, LLP","6000","08/31/2010","11/01/2011"
"Sharp, Hartwig & Vladimir","3210","03/03/1981","09/15/1981"
"Sharretts, Paley & Carter","1974","04/01/1966","05/02/1967"
"Shattuck, Bangs & Davis","399","11/20/1946","05/31/1950"
"Shaughnessy, Volzer & Gagner, P.C.","5556","04/18/2003","04/18/2003"
"Shaw, Arnold F.","1876","04/01/1965","01/26/1967"
"Shaw, Ian William","2532","08/27/1974","12/18/1979"
"Shaw, Pittman, Potts & Trowbridge","1226","05/12/1959","04/17/1975"
"Shaw, Pittman, Potts & Trowbridge","2580","02/21/1975","08/21/1996"
"Shea & Gould","2986","12/22/1978","07/01/1980"
"Shea & Gould","3542","12/29/1983","07/09/1985"
"Shea & Gould","3624","10/29/1984","02/26/1986"
"Shearman & Sterling","4208","01/23/1989","01/23/2000"
"Shearman & Sterling","1877","04/05/1965","04/11/1977"
"Shearman & Sterling","3370","05/14/1982","12/14/1982"
"Shearman & Sterling, LLP","5670","02/25/2005","08/31/2006"
"Shearman, Sterling & Wright","1000","02/18/1957","02/18/1957"
"Shearson Lehman Brothers, Inc.","4097","03/02/1988","12/04/1990"
"Sheinkopf, Hank","7469","09/26/2024",""
"Sheldon Ritter International Public Relations","4077","12/27/1987","06/30/1991"
"Shemdin, Nijyar H.","5196","07/22/1997","10/31/2006"
"Shepardson Stern & Kaminsky","5335","10/26/1999","04/30/2000"
"Shepardson, Stern & Kaminsky","5158","02/19/1997","08/31/1997"
"Shepardson, Stern & Kaminsky","5078","11/16/1995","05/31/1996"
"Sheppard Mullin Richter & Hampton LLP","7461","09/10/2024",""
"Shepura, Nathan","6630","01/28/2019","09/01/2023"
"Sher & Blackwell","4576","08/01/1991","02/28/1998"
"Sherman, Alexander","691","10/31/1951","10/30/1952"
"Sherman, Alexander","925","12/21/1955","12/21/1955"
"Sherwood Ross","2113","11/27/1968","05/07/1970"
"Shestakov, Sergey","7048","11/29/2021","12/21/2021"
"Shillers, Rudolf","284","12/06/1944","04/26/1951"
"Shin Po, Inc.","315","08/17/1945","02/17/1946"
"Shindler, Bernard","1646","07/19/1963","01/30/1964"
"Shishko, Irwin","1941","11/24/1965","07/01/1969"
"Shishko, Irwin","2105","09/17/1968","11/12/1969"
"Shoenberg, Susan S.","5090","12/20/1995","12/20/1995"
"Shohan, Charles Judah","824","04/23/1954","11/01/1954"
"Short, Klein & Karas, P.C.","4207","01/17/1989","01/17/1989"
"Shrum, Devine & Donilon","5106","04/12/1996","07/09/1996"
"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","5976","03/03/2010","09/30/2015"
"Si Senor LLC","7432","07/08/2024",""
"Sidama National Democratic Movement (SNDM)","6246","08/19/2014","08/19/2014"
"Sidley & Austin","2658","02/05/1976","04/14/1981"
"Sidley Austin LLP","3731","09/13/1985",""
"Sidzikauskas, Vaclovas","567","03/08/1949","03/08/1949"
"Siegel, Leah","2488","01/21/1974","11/30/1990"
"Siegel, Stanley Z.","2004","02/09/1967","02/03/1970"
"Siegel, Stanley Z.","1756","06/12/1964","02/03/1967"
"Sierra Club Legal Defense Fund, Inc.","5026","06/20/1995","12/31/1995"
"Sierra Rutile America, Inc.","5128","06/10/1996","06/30/2004"
"Signal Group","7433","07/17/2024",""
"Signal Group Consulting, LLC","6297","06/02/2015","10/27/2016"
"Signal Group Consulting, LLC","6661","04/12/2019","05/21/2019"
"Sigur, Christopher","3001","02/26/1979","07/16/1979"
"Silicon Foundry, LLC","7493","11/26/2024",""
"Silvera, John Douglas","1574","10/18/1962","04/18/1963"
"Silverbridge, Khendhrah","6619","01/20/2019","01/20/2019"
"Silversmith Law Offices PLLC","6597","10/03/2018","12/31/2018"
"Silverstein & Mullens","3352","04/06/1982","09/27/1982"
"Silverstein & Mullens","2411","03/12/1973","10/20/1980"
"Silvestrelli, Carlo","545","11/15/1948","11/15/1949"
"Silvin, Mary Jane","2697","06/12/1976","12/02/1976"
"Silvin, Mary Jane","2383","10/04/1972","09/24/1973"
"Simmons Gateway Tours","1305","12/07/1959","12/07/1959"
"Simon, Hugo Ferdinand","661","02/21/1951","11/30/1951"
"Simon, William Douglas","3729","09/09/1985","12/02/1988"
"Simons, Thomas F.","4029","08/25/1987","06/12/1989"
"Simonsen, Svein Winge","774","06/18/1953","12/18/1954"
"Sims Jr., John Rogers","1034","06/07/1957","12/07/1958"
"Sinarquista Regional Council","387","10/25/1946","10/25/1956"
"Sindt, Robert H.","4377","05/22/1990","12/10/1991"
"Sing Tao US","6999","08/23/2021",""
"Singapore Economic Development Board","2003","02/02/1967",""
"Singapore Tourism Board","2414","03/27/1973",""
"Singapore Trade Development Board","2979","11/27/1978","05/27/1995"
"Singer Bonjean Strategies","6216","04/16/2014","12/14/2014"
"Singer Bonjean Strategies","6001","09/21/2010","12/31/2012"
"Singer, Derek S.","792","10/19/1953","06/12/1954"
"Sinkevitchous, Apolinaras","2285","10/15/1971","02/11/1974"
"Sino-American Export/Imports, Inc.","2476","11/16/1973","07/26/1977"
"Sino-American Technology Exchange Council (SATEC)","3243","05/18/1981","03/15/1984"
"Sip, Emil","1435","03/13/1961","03/13/1964"
"Sitrick & Company, Inc.","4967","10/14/1994","10/31/1997"
"Sitrick Group, LLC","6572","07/13/2018","01/31/2019"
"Sitrick and Company, Inc.","5777","11/20/2006","05/31/2008"
"Skadden, Arps, Slate & Timbers","737","07/28/1952","08/03/1956"
"Skadden, Arps, Slate, Meagher & Flom","6617","01/18/2019","01/18/2019"
"Skadden, Arps, Slate, Meagher & Flom","3746","10/15/1985","11/14/1990"
"Skadden, Arps, Slate, Meagher & Flom LLP","6704","08/01/2019","12/16/2019"
"Skadden, Arps, Slate, Meagher & Flom, L.L.P.","4550","07/29/1991","01/31/2000"
"Skadden, Arps, Slate, Meagher & Flom, LLP","5812","05/16/2007","11/16/2007"
"Skadden, Arps, Slate, Meagher & Flom, LLP","5460","10/04/2001","12/31/2002"
"Skala, John B.","988","12/11/1956","09/01/1957"
"Skala-Weber Travel Agency","1096","12/23/1957","08/03/1960"
"Skelly, John T.","1312","12/14/1959","12/14/1959"
"Skipper Jr., William H.","5325","08/13/1999","08/13/1999"
"Skol & Associates, Inc.","5346","12/09/1999","06/30/2004"
"Skyline Capitol LLC","7404","05/07/2024",""
"Slade, Jonathan B.","4228","03/21/1989","02/06/1990"
"Slattery, James","7143","07/21/2022","07/22/2022"
"Slavia Book Company, Inc.","971","08/20/1956","02/20/1957"
"Sloan, Kelly","7466","09/23/2024",""
"Slocum & Boddie, PLLC","5765","09/12/2006",""
"Slotnick, Barry Ivan","1665","10/23/1963","04/23/1964"
"Slovak Liberation Committee in the U.S.","658","01/30/1951","07/30/1960"
"Slovak National Council Abroad, U.S. Branch","667","04/10/1951","10/10/1953"
"Slowinski, Walter A.","2269","07/12/1971","12/20/1971"
"Small Business Corporation (f/k/a Small & Medium Industry Promotion Corporation ""SMIPC"")","5486","03/15/2002","12/31/2008"
"Small Business Corporation - USA Office","3477","05/25/1983","05/31/2009"
"Smathers, Hickey & Riley","3099","04/11/1980","07/01/1986"
"Smith & Harroff, Inc.","4765","02/09/1993","03/30/1993"
"Smith & Harroff, Inc.","4000","06/29/1987","09/15/1988"
"Smith & Harroff, Inc.","5862","04/15/2008","04/30/2008"
"Smith & McMurtrie","3820","04/24/1986","12/31/1988"
"Smith Group","2876","03/28/1978","01/21/1980"
"Smith Jr., Harry J.","2256","05/14/1971","09/01/1971"
"Smith McCabe, Ltd.","4687","06/26/1992","06/30/1998"
"Smith, Alan Dexter","699","12/03/1951","07/15/1953"
"Smith, Alan Dexter","869","01/31/1955","04/19/1962"
"Smith, Anne Victoria","5177","04/25/1997","04/30/1999"
"Smith, Carleton","1495","11/30/1961","12/28/1968"
"Smith, Dawson & Andrews, Inc.","5085","12/12/1995","06/30/2000"
"Smith, E. Del","4867","11/08/1993","05/17/1995"
"Smith, Edwin S.","723","05/05/1952","05/31/1964"
"Smith, Harold T.","1159","08/07/1958","06/30/1959"
"Smith, Lawrence G.","4690","07/10/1992","12/07/1996"
"Smith, Nathaniel Conner","2959","09/27/1978","10/09/1979"
"Smith, Richard A.","4358","02/21/1990","11/29/1990"
"Smith, Scheuermann & Jones","1513","01/22/1962","01/22/1968"
"Smith. E. Del","2385","10/17/1972","05/21/1973"
"Smithhart, Clyde Geral","1167","09/04/1958","03/04/1959"
"Smyth, Dennis","3641","01/24/1985","04/25/1986"
"Snyder & Ball Associates, Inc.","3019","05/10/1979","10/14/1983"
"Snyder, Ball, Kriser & Associates, Inc.","3655","03/08/1985","11/12/1993"
"Sobchenko, Alexei","7336","10/19/2023",""
"Sobel Overseas Corporation","2034","07/11/1967","02/19/1993"
"Soble & Associates","4782","03/22/1993","11/01/1994"
"Sochua Mu Leiper","7042","11/10/2021","02/26/2024"
"Socialist Workers' Party","332","12/13/1945","10/31/1945"
"Softness Group, Inc.","2444","07/30/1973","03/25/1975"
"Software Technology Parks of India (STPI)","5462","10/17/2001","05/25/2002"
"Sokitch, Miloye","635","07/26/1950","07/26/1962"
"Solar & Ellis, L.L.P.","4630","03/11/1992","02/28/1994"
"Solarz Associates","5358","02/14/2000","01/01/2009"
"Soliman, Wael","7530","01/29/2025",""
"Solov, Liuba","1766","06/29/1964","12/31/1973"
"Solter, Myron W.","1970","03/22/1966","12/06/1988"
"Solutions North America Incorporated","5517","09/16/2002","09/30/2003"
"Somalia Philatelic Agency, Ltd.","1339","03/16/1960","12/31/1963"
"Somaliland Liaison Mission","5357","02/04/2000","02/28/2001"
"Somaliland Mission USA, LLC","6798","03/05/2020",""
"Somaliland Republic Office","3640","01/18/1985","07/18/1995"
"Someth, Uk","2224","11/30/1970","12/20/1970"
"Sommers/Rosen, Inc.","3276","09/23/1981","02/16/1983"
"Sonatrach, Inc.","2298","12/17/1971","01/24/1983"
"Sondland, Gordon","7384","03/21/2024",""
"Sonnenschein Nath & Rosenthal, LLP","5920","03/17/2009","09/30/2009"
"Sonnenschein Nath & Rosenthal, LLP","5650","10/08/2004","09/27/2005"
"Sonoran Policy Group, LLC D/B/A Stryk Global Diplomacy
","6399","12/11/2016",""
"Sonshire, Barry","3642","01/24/1985","02/19/1986"
"Sontheimer Hazlett, Ltd.","1648","07/19/1963","11/01/1994"
"Sorini, Samet & Associates, LLC","5839","11/12/2007",""
"Souham & Associates, Inc.","4114","04/04/1988","02/19/1991"
"South Africa Foundation","2111","11/21/1968","03/30/1995"
"South African Information Office","2535","09/27/1974","12/19/1980"
"South African Sugar Association (SASA)","3892","09/29/1986","01/26/1988"
"South African Tourism","603","01/04/1950",""
"South Moluccan Information Center, Republic of S. Moluccas","680","07/25/1951","07/25/1962"
"South West Africa People's Organization (SWAPO)","1949","12/30/1965","07/16/1990"
"South/North Communications LLC","6972","06/10/2021",""
"South/North Development Group, Ltd.","4219","02/21/1989","03/06/1990"
"South/North Development Group, Ltd.","3854","07/11/1986","06/30/1988"
"Southern Advertising, Inc.","849","11/08/1954","11/08/1957"
"Southern Energy Resources, Inc.","5295","12/29/1998","12/31/2000"
"Southern Switzerland Tourist Office","1324","01/28/1960","07/28/1962"
"Southern Transitional Council (US), Ltd.","6552","05/08/2018","02/08/2022"
"Southfive Strategies, LLC","6737","10/07/2019","09/30/2020"
"Southfive Strategies, LLC","5679","04/18/2005","07/31/2007"
"Southfive Strategies, LLC","6186","09/09/2013","08/31/2015"
"Southfive Strategies, LLC","5876","08/08/2008","08/31/2008"
"Southfive Strategies, LLC","6426","05/04/2017","10/26/2018"
"Southwest Strategies, LLC","6302","06/19/2015","08/31/2015"
"Southwest Strategies, LLC","6343","03/21/2016","05/15/2016"
"Sovereign Strategy Limited","7421","06/13/2024",""
"Space Travel Agency","2612","09/29/1975","03/29/1987"
"Spanish Information","368","08/20/1946","12/31/1948"
"Spanish Library of Information","28","07/09/1942","07/09/1942"
"Spanish National Tourist Office, Chicago","1830","12/11/1964","12/12/1979"
"Spanish National Tourist Office, Dallas","1836","12/17/1964","03/24/1966"
"Spanish National Tourist Office, Miami","2321","02/29/1972","08/25/1978"
"Spanish National Tourist Office, New York","538","09/14/1948","12/30/1980"
"Spanish National Tourist Office, Puerto Rico","2344","06/05/1972","12/03/1981"
"Spanish National Tourist Office, San Francisco","1914","08/11/1965","12/30/1980"
"Spanish National Tourist Office, St. Augustine","2322","02/29/1972","08/18/1993"
"Spear & Hill","2338","05/02/1972","05/02/1972"
"Spectrum Group Members, LLC","5894","12/01/2008","06/30/2009"
"Speers, Peter Carter","781","07/16/1953","12/31/1958"
"Spencer, David Eric","2410","03/07/1973","09/07/1973"
"Spencer, Thomas R.","5924","03/27/2009","05/01/2009"
"Spencer, William","1569","08/29/1962","08/29/1962"
"Spencer, William Byron","857","11/30/1954","05/31/1957"
"Spencer, William Byron","836","07/02/1954","07/31/1954"
"Spencer, William H.","5760","06/22/2006","06/22/2006"
"Spencer-Roberts & Associates, Inc.","3446","02/18/1983","09/01/1983"
"Sperling, Mae Irene","685","10/01/1951","10/31/1951"
"Spiegel & McDiarmid","4896","02/28/1994","02/22/1995"
"Spiro & Associates, Inc.","2545","11/04/1974","06/17/1977"
"Sporn, Kalman Chaim","7208","12/22/2022","09/09/2023"
"Sports Spectacular, Jamaica Friendship Committee","3603","01/26/1984","08/25/1987"
"Sprague, Esther Marie","6091","02/23/2012",""
"Sprenger, Olson & Shutes, P.A.","2963","10/03/1978","10/10/1986"
"Sprenger, Paul C.","2893","05/03/1978","08/28/1979"
"Spriggs & Hollingsworth","3951","03/23/1987","12/06/1989"
"Spring O'Brien & Company, Inc.","5872","06/30/2008","12/31/2014"
"Spring O'Brien & Company, Inc.","3661","03/19/1985","03/31/2001"
"Springer, David E.","5400","12/11/2000","06/01/2003"
"Spurga, Ronald","1864","03/05/1965","02/08/1967"
"Spurney, Alan B.","3639","01/18/1985","08/08/1985"
"Squier, Eskew & Knapp Communications, Inc.","4237","04/10/1989","10/19/1994"
"Squire Patton Boggs, LLP","2165","10/09/1969",""
"Squire Sanders (US) LLP.","6073","09/26/2011","03/31/2013"
"Squire Sanders Public Advocacy, LLC","5791","02/05/2007","02/28/2010"
"Squire Sanders Public Advocacy, LLC","6063","09/16/2011","06/02/2014"
"Squire, Sanders & Dempsey, L.L.P.","746","12/02/1952","12/02/1997"
"Sremac, Danielle","4932","07/29/1994","01/31/1996"
"St. John, Terry","3294","10/21/1981","12/03/1987"
"St. Lucia National Development Corporation","2796","06/24/1977","06/30/2009"
"St. Lucia Tourism Authority","2668","03/15/1976",""
"St. Maarten Tourist Office","5294","12/21/1998","06/30/2013"
"St. Maxens & Company","3726","08/23/1985","03/23/1987"
"St. Vincent, Richard L.","3928","07/21/1986","04/26/1990"
"Staats, J. Jefferson","2916","06/16/1978","08/10/1979"
"Stack, Edward James","3073","11/27/1979","08/18/1980"
"Stack, Edward James","3202","02/24/1981","10/02/1981"
"Stackig, Sanderson & White","4385","06/12/1990","11/21/1991"
"Stafford, Burke & Hecker, Inc.","3510","08/16/1983","03/16/1984"
"Stafford, Burke & Hecker, Inc.","3623","10/25/1984","10/25/1990"
"Stanley Ross","2637","12/10/1975","03/14/1977"
"Stanton Communications","5724","12/23/2005","08/31/2006"
"Starks, Maurice","3012","04/04/1979","10/15/1987"
"Starzewski, Baron A.O.","2437","06/18/1973","04/17/1980"
"Stasser, Rev. Paul, O.S.B.","276","08/18/1944","01/01/1945"
"State Affairs Company","5123","07/22/1996","01/22/1997"
"State Affairs Company","5674","03/07/2005","03/31/2006"
"Staton, David Michael","5002","03/10/1995","04/30/2013"
"Stearns, John Norton","5232","02/09/1998","06/30/1998"
"Steele, Donald Dickinson","2030","06/20/1967","06/20/1981"
"Steeplechase Group, LLC","5423","04/03/2001","10/31/2005"
"Stellar Jay Communications","6789","01/31/2020",""
"Stephens Overseas Services, Inc.","4283","08/28/1989","08/11/1992"
"Steptoe & Johnson","3087","02/13/1980","03/24/1980"
"Steptoe & Johnson, L.L.P.","3975","05/08/1987","05/31/2006"
"Steptoe & Johnson, LLP","6203","01/06/2014","12/12/2014"
"Steptoe & Johnson, LLP","6077","12/01/2011","07/18/2012"
"Steptoe & Johnson, LLP","5848","01/25/2008","03/31/2009"
"Steptoe LLP","6653","03/22/2019",""
"Sterling International Consulting Corporation","5519","10/01/2002","11/30/2002"
"Sterling Movies","1597","02/12/1963","02/14/1971"
"Stern, Rachel","4268","07/05/1989","01/23/1990"
"Stevason & Dukas","1753","06/05/1964","03/23/1965"
"Steven Billet","6420","04/21/2017","04/21/2017"
"Steven M. Schneebaum, P.C.","6265","12/16/2014","06/30/2016"
"Steven R. Perles, P.C.","3248","06/15/1981","03/31/1988"
"Steven Walton Kay","7257","04/11/2023","10/31/2023"
"Stevens, Rosalind B.","2088","04/18/1968","11/18/1968"
"Stewart, Ann","5313","06/09/1999","06/30/2001"
"Stewart, Ann Haslam","4632","03/13/1992","10/31/1996"
"Stewart, John","695","11/14/1951","03/02/1960"
"Stewart, Sandra","4350","03/16/1990","06/05/1991"
"Stinson Associates International","2873","03/27/1978","03/09/1983"
"Stitt, Nelson Alexander","771","06/11/1953","12/31/1957"
"Stone & Bittel","1591","01/14/1963","11/24/1964"
"Stone Strategic Solutions SRL","6783","01/16/2020","07/31/2020"
"Stone, David S.","1509","01/12/1962","02/11/1963"
"Stone, Richard B.","3572","04/02/1984","04/26/1988"
"Stone, Richard B.","3414","10/05/1982","05/26/1983"
"Stonington Strategies, LLC","6458","09/03/2017","10/26/2018"
"Stopa, Mark Thomas","6813","04/08/2020","04/27/2020"
"Storch & Brenner","4229","03/22/1989","12/12/1989"
"StorySquad Media, LLC","7476","10/17/2024",""
"Stovall III, James T.","3940","02/25/1987","02/25/2004"
"StrateVarious LLC","6449","07/29/2017",""
"Strategic Communications & Information Services, Inc.","4934","07/29/1994","05/31/1995"
"Strategic Improvisation Inc.","6880","10/19/2020","01/19/2021"
"Strategic Information, Inc.","5094","02/06/1996","08/31/1996"
"Strategic Partnership Alliance, Ltd.","6070","10/15/2011","09/29/2012"
"Strategic Policy, Inc.","4206","01/13/1989","07/13/1997"
"Strategy Group International, Inc.","5354","01/10/2000","07/31/2000"
"Strategy XXI Group, LLC","6058","08/18/2011","12/31/2012"
"Strategy XXI Group, Ltd.","5273","09/01/1998","08/31/2001"
"Straus, Richard","3151","09/26/1980","02/03/1987"
"Strauss, Joseph A.","5214","10/15/1997","12/15/1998"
"Streicher, Pieter E.","2962","10/02/1978","06/13/1983"
"Strelnikov, Boris G.","1890","05/10/1965","09/03/1965"
"Strelnikov, Boris G.","1299","11/19/1959","09/03/1965"
"Stripe Services, LLC","7022","10/04/2021","11/10/2021"
"Strom Public Affairs","7006","09/01/2021","08/22/2022"
"Strong, George Eugene","478","07/14/1947","01/14/1948"
"Strong, William","608","01/27/1950","07/27/1955"
"Stroock & Stroock & Lavan","5141","04/23/1996","04/30/2001"
"Stroock & Stroock & Lavan","4689","07/06/1992","02/24/1993"
"Stroock & Stroock & Lavan","3005","03/22/1979","04/24/1984"
"Stroock & Stroock & Lavan","4750","09/14/1992","12/04/1995"
"Stroock & Stroock & Lavan","3816","04/22/1986","09/30/1988"
"Stroud Communications","6471","09/29/2017","11/15/2017"
"Stuart Newman Associates, Inc.","2858","01/16/1978","12/31/1981"
"Stuart Pearlman & Company, Inc.","4985","01/05/1995","01/08/1995"
"Stuart, John McHugh","3395","08/03/1982","11/18/1982"
"Stuntz, Davis & Staffier","5194","06/23/1997","06/30/1998"
"Sturges and Associates","1976","04/25/1966","06/09/1966"
"Sturney, John A.","2416","03/29/1973","03/20/1975"
"Sturua, Melor G.","2130","04/17/1969","03/05/1973"
"Styles, Deborah M.","3924","01/07/1987","12/31/1991"
"Sudanese National Democratic Party Rally, Washington, D.C.","4354","03/20/1990","03/19/1993"
"Sudler & Hennessey, Inc.","1701","03/17/1964","04/18/1967"
"Sulaiman, Alkhadher Nasr","6998","08/21/2021","02/28/2022"
"Sullivan & Cromwell","1790","09/15/1964","04/19/1965"
"Sullivan & Worcester","2843","11/02/1977","06/28/1985"
"Sullivan, Robert J.","3316","12/17/1981","05/30/1984"
"Sullivan, Sarria & Associates, Inc.","2593","06/20/1975","08/03/1984"
"Sullivan, Shea & Kenney","1571","09/10/1962","11/09/1962"
"Sulzberger & Sulzberger","1764","06/24/1964","07/11/1966"
"Summers, Jack","3514","08/16/1983","04/30/1986"
"Summit Information Services Inc.","6760","12/02/2019","01/16/2022"
"Sunderland, Lawrence B.","2296","12/14/1971","10/24/1973"
"Sunshine Uzbekistan USA, NFP","5721","11/21/2005","11/30/2007"
"Super, Paul","227","12/23/1943","09/30/1946"
"Suplizio, Paul E.","3802","03/21/1986","10/18/1986"
"Supporters of Fine Gael, Inc.","5798","03/08/2007","03/31/2009"
"Supporters of the Irish Labour Party, Inc.","6033","04/11/2011","04/11/2011"
"Supreme Committee of Croatian Peasant Society","446","03/18/1947","10/07/1947"
"Supuran, Victor","2451","08/20/1973","01/01/1987"
"Surinam Tourist Bureau","1257","08/25/1959","10/29/1980"
"Suriname Philatelic Agency, Ltd.","1290","10/30/1959","12/26/1963"
"Surrey & Morse","2649","01/05/1976","02/10/1986"
"Surrey, Karasik and Morse","2480","12/03/1973","03/19/1974"
"Surrey, Karasik, Gould and Efron","856","11/24/1954","05/31/1956"
"Surrey, Karasik, Gould and Efron","1178","10/09/1958","03/01/1972"
"Surrey, Walter Sterling","1561","07/18/1962","07/18/1962"
"Surrey, Walter Sterling","1560","07/18/1962","07/18/1962"
"Susan Davis International & Public Affairs","3444","02/16/1983","03/24/1993"
"Sutcliffe, Charles H.","3551","01/23/1984","05/06/1986"
"Suterwalla, Razia","4526","06/06/1991","01/06/1994"
"Sutherland, Asbill & Brennan","3450","03/09/1983","04/14/1983"
"Sutherland, Asbill & Brennan","3307","11/20/1981","12/28/1989"
"Sutton & O'Rourke","2198","06/03/1970","06/29/1972"
"Sutton, Shull & O'Rouke","2194","04/17/1970","04/17/1970"
"Svensson, Bengt Allan","7259","04/17/2023",""
"Sveriges Television AB (Swedish Broadcasting Corporation)","1676","01/02/1964","03/31/2000"
"Swanson, Edward B.","1172","09/28/1958","11/24/1962"
"Swayne, Daniel L.","5983","03/25/2010","03/25/2010"
"Swedish Industries Fund, Inc.","69","07/28/1942","06/30/1946"
"Swedish Information Service","70","07/28/1942","06/30/1973"
"Swedish Seamens' Union","209","09/17/1943","03/17/1946"
"Swedish Tourist Office","68","07/27/1942","09/23/1993"
"Swedish-American Chamber of Commerce, Inc.","13","07/06/1942","08/29/1972"
"Sweeney & Associates, LLC","7547","02/25/2025",""
"Sweeney, John E.","6713","08/30/2019","05/15/2020"
"Sweeney, Robert Wallace","7400","04/19/2024",""
"Sweinhart, Henry L.","137","10/07/1942","10/07/1942"
"Swidler Berlin Shereff Friedman, LLP","4079","01/07/1988","07/07/2000"
"Swidler Berlin Shereff Friedman, LLP","5469","01/28/2002","06/30/2002"
"Swiss National Tourist Office, San Francisco","458","04/25/1947","09/27/1990"
"Swiss Overseas Company, Inc.","789","08/26/1953","08/26/1953"
"Swiss Philatelic Agency in America, Inc.","1165","08/26/1958","04/30/1964"
"Switzerland Tourism","55","03/01/1943",""
"Sydney Morrell & Company, Inc.","1661","10/11/1963","11/15/1982"
"Sydney S. Baron & Company, Inc.","1046","07/19/1957","07/19/1958"
"Sydney S. Baron & Company, Inc.","2170","11/13/1969","11/13/1970"
"Sykes, Joseph Stuart","4036","09/09/1987","04/21/1988"
"Sylvester Lukis & Associates, P.C.","4392","07/02/1990","11/06/1990"
"Symms, Lehn & Associates, Inc.","4880","12/21/1993","12/31/2003"
"Symonds, Judith Chaskin","3526","10/03/1983","05/29/1985"
"Syndicat Des Marins De France","305","06/08/1945","12/08/1945"
"Synergistic Solutions, Inc.","3166","11/17/1980","04/15/1981"
"Synergy Publishing, Inc.","3615","09/21/1984","10/19/1994"
"Syrian Future Movement","6143","11/13/2012","11/13/2012"
"Syrian National Party in the U.S.","32","07/24/1942","12/07/1946"
"Szabad, George Michael","357","05/09/1946","07/15/1946"
"Szaz, Zoltan Michael","3187","01/07/1981","02/02/1988"
"Szlavik, Hogan & Miller, Inc.","4716","10/05/1992","04/30/1994"
"Szor, Leopold","410","12/16/1946","05/07/1949"
"Szygowski, Julius","2749","01/26/1977","12/03/1979"
"T&R Productions LLC","6485","11/10/2017","09/30/2022"
"T. Vagi Associates, Inc.","3040","07/17/1979","02/09/1988"
"T.J. Ross & Associates, Inc.","3102","04/24/1980","01/22/1982"
"T.J. Ross & Associates, Inc.","3508","08/12/1983","02/02/1984"
"TD International, LLC","5775","11/07/2006","08/31/2009"
"TKC International, Inc.","3075","12/13/1979","12/13/1999"
"TPLF Information Office","4124","04/20/1988","04/20/1993"
"TRG Advisory Services, LLC","6596","09/27/2018",""
"TS Navigations, LLC","5943","06/15/2009","05/01/2012"
"TSE Research & Development, Inc.","3154","10/07/1980","10/07/1981"
